1YrT-BillYield,EarningsPerShare,DividendPerShare,CurrentS&P500,S&P500NextWeek
5.99,21.34,12.1,367.916,375.35
5.86,21.34,12.1,378.93699999999995,373.14599999999996
5.92,21.34,12.1,390.44699999999995,382.76
5.74,21.34,12.1,380.29,378.51
5.79,21.34,12.1,368.57,376.18699999999995
5.82,20.87,12.12,382.79,385.09
5.97,20.87,12.12,376.647,375.09
5.94,20.87,12.12,371.59,373.33
5.88,20.87,12.12,375.73900000000003,381.17699999999996
5.87,20.87,12.12,378.63699999999994,387.81
5.76,20.87,12.12,390.56,389.897
5.49,20.87,12.12,390.59,396.63699999999994
5.34,19.35,12.15,389.968,385.09
5.24,19.35,12.15,386.93699999999995,386.87699999999995
5.05,19.35,12.15,388.26,376.8
5.09,19.35,12.15,392.8,387.93699999999995
4.77,19.35,12.15,392.958,389.968
4.61,19.35,12.15,397.407,378.53
4.46,19.35,12.15,376.55,380.07
4.23,17.82,12.28,377.69699999999995,383.47900000000004
3.98,17.82,12.28,399.33,417.09
3.95,17.82,12.28,418.1,420.77
4.2,17.82,12.28,418.12699999999995,410.34
3.94,17.82,12.28,413.84,417.12699999999995
4.44,17.82,12.28,408.26,415.35
4.59,15.97,12.2,409.33,404.03
4.71,15.97,12.2,409.147,407.52
4.38,15.97,12.2,404.22900000000004,394.5
4.2,15.97,12.2,416.28,409.81
4.28,15.97,12.2,412.02,416.79
4.05,15.97,12.2,416.44699999999995,415.38699999999994
4.22,15.97,12.2,412.167,414.59
4.11,16.2,12.32,407.25,402.26
3.94,16.2,12.32,403.83,412.87699999999995
3.45,16.2,12.32,410.28,417.1
3.42,16.2,12.32,410.92699999999996,422.22900000000004
3.29,16.2,12.32,422.18699999999995,417.78
3.33,16.2,12.32,418.17699999999996,413.51
3.07,17.05,12.32,417.97900000000004,416.36
3.01,17.05,12.32,419.917,417.43699999999995
2.88,17.05,12.32,417.8,404.25
3.19,17.05,12.32,409.37,415.667
3.39,17.05,12.32,420.12699999999995,417.77
3.51,17.05,12.32,422.19699999999995,422.85
3.65,17.05,12.32,429.18699999999995,429.88699999999994
3.67,18.04,12.39,435.647,431.52
3.47,18.04,12.39,439.03,438.82
3.45,18.04,12.39,434.52,433.03
3.27,18.04,12.39,433.37,438.11
3.28,18.04,12.39,447.19800000000004,446.22900000000004
3.18,18.04,12.39,433.3,440.87
3.25,18.04,12.39,449.26,456.33
3.2,19.09,12.38,448.31,448.07
3.17,19.09,12.38,451.668,442.72900000000004
3.08,19.09,12.38,448.658,443.62800000000004
3.15,19.09,12.38,438.02,444.52
3.21,19.09,12.38,444.8,447.57
3.48,19.09,12.38,453.43800000000005,453.85
3.36,19.84,12.48,445.78,447.42800000000005
3.37,19.84,12.48,443.18800000000005,450.53
3.27,19.84,12.48,442.83,450.08
3.49,19.84,12.48,447.17800000000005,447.18800000000005
3.37,19.84,12.48,448.54,450.458
3.28,19.84,12.48,456.04,460.129
3.13,19.33,12.52,463.149,456.649
3.27,19.33,12.52,461.6,456.199
3.22,19.33,12.52,460.11,460.73900000000003
3.24,19.33,12.52,461.48900000000003,466.07
3.34,19.33,12.52,464.61,463.02
3.39,19.33,12.52,463.719,464.81
3.43,19.33,12.52,462.36,461.889
